OrderID,Date,Customer,Product,Category,Quantity,UnitPrice,Total,Region,Status
1001,2024-01-05,PT Maju Jaya,Widget A,Electronics,10,150000,1500000,Jakarta,Delivered
1002,2024-01-07,CV Sejahtera,Gadget X,Electronics,5,450000,2250000,Bandung,Delivered
1003,2024-01-09,UD Berkah Abadi,Component Y,Mechanical,25,75000,1875000,Surabaya,Processing
1004,2024-01-12,PT Global Indo,Widget B,Electronics,8,180000,1440000,Jakarta,Delivered
1005,2024-01-14,CV Makmur Sentosa,Gadget Y,Electronics,3,550000,1650000,Medan,Pending
1006,2024-01-16,Toko Amanah,Part Z,Mechanical,50,25000,1250000,Malang,Shipped
1007,2024-01-19,PT Sinar Jaya,Widget C,Electronics,15,120000,1800000,Semarang,Delivered
1008,2024-01-21,CV Karya Mandiri,Gadget Z,Electronics,7,480000,3360000,Yogyakarta,Processing
1009,2024-01-23,UD Tani Sejahtera,Component A,Mechanical,30,35000,1050000,Jakarta,Delivered
1010,2024-01-26,PT Niaga Utama,Widget D,Electronics,12,160000,1920000,Bandung,Shipped
1011,2024-01-28,CV Bangun Perkasa,Gadget W,Electronics,4,620000,2480000,Surabaya,Delivered
1012,2024-02-02,PT Sumber Rezeki,Part A,Mechanical,40,18000,720000,Medan,Delivered
1013,2024-02-05,UD Subur Makmur,Widget E,Electronics,20,110000,2200000,Malang,Processing
1014,2024-02-08,CV Terang Abadi,Gadget V,Electronics,6,510000,3060000,Semarang,Delivered
1015,2024-02-11,PT Duta Niaga,Component B,Mechanical,18,42000,756000,Yogyakarta,Shipped
1016,2024-02-14,UD Pesona Indah,Widget F,Electronics,9,190000,1710000,Jakarta,Delivered
1017,2024-02-17,CV Usaha Bersama,Gadget U,Electronics,11,390000,4290000,Bandung,Pending
1018,2024-02-20,PT Mega Jaya,Part B,Mechanical,35,22000,770000,Surabaya,Delivered
1019,2024-02-23,UD Agro Makmur,Widget G,Electronics,14,130000,1820000,Medan,Shipped
1020,2024-02-27,CV Sentosa Abadi,Gadget T,Electronics,2,710000,1420000,Malang,Delivered
1021,2024-03-02,PT Bumi Perkasa,Component C,Mechanical,22,38000,836000,Semarang,Processing
1022,2024-03-05,UD Karya Utama,Widget H,Electronics,16,145000,2320000,Yogyakarta,Delivered
1023,2024-03-08,CV Mitra Sejati,Gadget S,Electronics,8,490000,3920000,Jakarta,Delivered
1024,2024-03-11,PT Tunas Muda,Part C,Mechanical,45,15000,675000,Bandung,Shipped
1025,2024-03-14,UD Sumber Agung,Widget I,Electronics,13,170000,2210000,Surabaya,Delivered
1026,2024-03-17,CV Bakti Mandiri,Gadget R,Electronics,5,580000,2900000,Medan,Processing
1027,2024-03-20,PT Karya Sejahtera,Component D,Mechanical,28,29000,812000,Malang,Delivered
1028,2024-03-23,UD Mawar Indah,Widget J,Electronics,7,200000,1400000,Semarang,Pending
1029,2024-03-26,CV Sumber Berkah,Gadget Q,Electronics,9,440000,3960000,Yogyakarta,Delivered
1030,2024-03-29,PT Wijaya Kusuma,Part D,Mechanical,32,20000,640000,Jakarta,Shipped
1031,2024-04-02,UD Merdeka Jaya,Widget K,Electronics,18,105000,1890000,Bandung,Delivered
1032,2024-04-05,CV Bintang Timur,Gadget P,Electronics,3,650000,1950000,Surabaya,Processing
1033,2024-04-08,PT Cipta Karya,Component E,Mechanical,20,35000,700000,Medan,Delivered
1034,2024-04-11,UD Harapan Bangsa,Widget L,Electronics,11,155000,1705000,Malang,Delivered
1035,2024-04-14,CV Nusantara Abadi,Gadget O,Electronics,6,520000,3120000,Semarang,Shipped
1036,2024-04-17,PT Sinar Abadi,Part E,Mechanical,38,19000,722000,Yogyakarta,Delivered
